Tool,Domain
BeAnywhere,beanywhere.com
BeAnywhere,mspa.n-able.com
BeAnywhere,swi-tc.com
BeAnywhere,sis.n-able.com
BeAnywhere,swi-rc.cdn-sw.net
Atera,a32dl55qcodech-ats.iot.eu-west-1.amazonaws.com
Atera,agent-api.atera.com
Atera,agenthb.atera.com
Atera,app.atera.com
Atera,appcdn.atera.com
Atera,ps.atera.com
Atera,pubsub.atera.com
Atera,ps.pndsn.com
Atera,pubsub.pubnub.com
Atera,atera.pubnubapi.com
Atera,atera-agent-heartbeat-cus.servicebus.windows.net
Atera,atera-agent-heartbeat.servicebus.windows.net
Atera,api.splashtop.com
Atera,relay.splashtop.com
Atera,sn.splashtop.com
Pulseway,pulseway.com
ScreenConnect,screenconnect.com
TeamViewer,router15.teamviewer.com
TeamViewer,client.teamviewer.com
TeamViewer,taf.teamviewer.com
AnyDesk,boot.net.anydesk.com
AnyDesk,relay-ad3345a7.net.anydesk.com
AnyDesk,relay-8d9e4ddf.net.anydesk.com
Domotz,zendesk.com
DWservice,dwservice.net
DWservice,api.dwservice.net
Fixme.it,fixme.it
Fixme.it,techinline.net
Fleetdeck.io,fleetdeck.io
Fleetdeck.io,cognito-idp.us-west-2.amazonaws.com
Level.io,agents.level.io
Level.io,online.level.io
Level.io,builds.level.io
Level.io,downloads.level.io
Level.io,realtime.ably.io
Level.io,prdlevel-storage.s3.wasabisys.com
Level.io,global.turn.twilio.com
Level.io,global.stun.twilio.com
Logmein,logmein.com
Logmein,logmein.eu
Logmein,hamachi.cc
Logmein,internap.net
Logmein,logmeininc.com
Rport,pairing.rport.io
